author,min,max,activity_duration
112Hack,2023-09-27 13:38:28+00:00,2023-12-19 14:08:00+00:00,1992.4922222222222
Alexander397172YT,2023-05-23 13:16:53+00:00,2023-06-15 16:52:14+00:00,555.5891666666666
Anuken,2023-01-07 16:23:55+00:00,2023-12-30 02:14:39+00:00,8553.845555555556
ApsZoldat,2023-09-27 21:17:59+00:00,2023-12-15 16:39:30+00:00,1891.358611111111
ArkSourcer,2023-09-16 20:23:48+00:00,2023-11-28 10:29:04+00:00,1742.0877777777778
Arzxq,2023-09-29 04:48:06+00:00,2023-09-29 04:48:06+00:00,0.0
Atomic-Laboratory,2023-10-14 01:14:55+00:00,2023-12-15 17:21:42+00:00,1504.1130555555555
BalaM314,2023-03-25 17:55:26+00:00,2023-12-23 14:16:48+00:00,6548.356111111111
Baldur404,2023-02-15 14:34:38+00:00,2023-02-15 14:34:38+00:00,0.0
BasedUser,2023-06-23 18:00:00+00:00,2023-11-29 20:01:41+00:00,3818.0280555555555
BnDLett,2023-12-08 22:03:40+00:00,2023-12-08 22:03:40+00:00,0.0
Brandons404,2023-03-25 17:57:20+00:00,2023-06-02 23:12:05+00:00,1661.2458333333334
CamoGekko,2023-12-07 17:38:12+00:00,2023-12-07 17:38:12+00:00,0.0
Catchears,2023-05-07 01:51:37+00:00,2023-05-07 01:51:37+00:00,0.0
CoCo-Snow,2023-06-08 03:15:24+00:00,2023-06-20 17:22:08+00:00,302.1122222222222
Darkness6030,2023-01-12 13:51:28+00:00,2023-11-18 13:37:40+00:00,7439.77
Def-Try,2023-07-05 08:52:58+00:00,2023-07-05 08:52:58+00:00,0.0
DikHalz,2023-01-07 20:30:51+00:00,2023-04-03 03:21:23+00:00,2046.8422222222223
DinnerWool,2023-01-15 13:42:59+00:00,2023-01-15 13:42:59+00:00,0.0
Electron215,2023-11-23 09:59:32+00:00,2023-11-23 09:59:32+00:00,0.0
Epowerj,2023-02-01 18:09:46+00:00,2023-07-22 05:03:36+00:00,4090.8972222222224
ErosAa2,2023-11-02 13:01:59+00:00,2023-11-04 13:12:21+00:00,48.172777777777775
Estcool9,2023-12-13 22:05:15+00:00,2023-12-13 22:05:15+00:00,0.0
Fischer1000,2023-02-19 14:26:59+00:00,2023-02-19 14:26:59+00:00,0.0
FourGamingStudio,2023-07-01 14:56:59+00:00,2023-07-01 14:56:59+00:00,0.0
Gadgetroch,2023-12-11 12:46:37+00:00,2023-12-11 12:46:37+00:00,0.0
Gamer-art9044,2023-12-07 12:20:14+00:00,2023-12-07 12:20:14+00:00,0.0
Garen7,2023-01-07 16:29:46+00:00,2023-01-07 21:14:04+00:00,4.738333333333333
GaruPlayOfficial,2023-10-02 16:00:54+00:00,2023-10-02 16:00:54+00:00,0.0
GeraldEV,2023-11-08 03:44:22+00:00,2023-11-08 03:44:22+00:00,0.0
GergoEB,2023-06-04 14:59:43+00:00,2023-11-16 16:01:42+00:00,3961.0330555555556
GlennFolker,2023-01-07 18:48:28+00:00,2023-05-28 13:14:15+00:00,3378.429722222222
Hahaa13,2023-07-31 05:45:00+00:00,2023-11-23 11:25:36+00:00,2765.6766666666667
HamzaGSopp,2023-03-25 17:58:10+00:00,2023-12-17 01:39:07+00:00,6391.6825
Idonotus,2023-08-01 15:52:23+00:00,2023-08-01 15:52:23+00:00,0.0
Ilya246,2023-05-18 13:29:44+00:00,2023-11-18 13:35:10+00:00,4416.0905555555555
IqKero,2023-08-11 14:23:02+00:00,2023-08-11 14:23:02+00:00,0.0
J0anJosep,2023-01-08 06:22:32+00:00,2023-10-13 13:23:14+00:00,6679.011666666666
