number,state,contributor,created_at,closed_at,title,labels,resolution_time
9944,closed,Vato8090,2024-06-13 12:38:21+00:00,2024-06-13 17:03:44+00:00,problem,['bug'],4.423055555555556
9942,closed,Redo11,2024-06-13 02:30:48+00:00,2024-06-13 17:18:33+00:00,"processors get enabled when changing ""map area"" rule",['bug'],14.795833333333333
9941,closed,Makaim20,2024-06-13 00:49:44+00:00,2024-06-13 01:59:54+00:00,проблема с сохранениями,['bug'],1.1694444444444445
9939,closed,Gordost33,2024-06-12 14:04:22+00:00,2024-06-12 21:39:52+00:00,spawn sector bug,['bug'],7.591666666666667
9934,closed,opusforlife2,2024-06-11 14:57:10+00:00,2024-06-12 21:38:24+00:00,import figures in stats screen only updated if hanging around in exporting sector for that resource,['bug'],30.68722222222222
9931,closed,Untiled-infinity,2024-06-10 04:24:52+00:00,2024-06-12 21:39:41+00:00,game randomly crashes,['bug'],65.24694444444444
9930,closed,Juliosh422,2024-06-08 19:33:09+00:00,2024-06-12 21:38:36+00:00,drill speed blocked by fog,['bug'],98.09083333333334
9929,closed,opusforlife2,2024-06-08 16:38:44+00:00,2024-06-10 14:14:41+00:00,"turning off ""auto-create saves"" doesn't seem to work?",['bug'],45.59916666666667
9928,closed,Everlost065,2024-06-08 15:49:14+00:00,2024-06-12 21:39:07+00:00,bugs?,['bug'],101.8313888888889
9923,closed,EwlKirill,2024-06-06 07:55:21+00:00,2024-06-12 21:39:00+00:00,firing while flying in opposite direction,['bug'],157.7275
9919,closed,Ray34245,2024-06-03 11:37:13+00:00,2024-06-03 12:03:14+00:00,bug,['bug'],0.4336111111111111
9917,closed,Staropanethy,2024-06-02 17:34:22+00:00,2024-06-02 20:04:07+00:00,unknown error during gameplay ,['bug'],2.495833333333333
9913,closed,Derekelpapu,2024-06-02 01:27:04+00:00,2024-06-02 17:18:30+00:00,mindustry bug,['bug'],15.857222222222223
9911,closed,Brandanvimi,2024-06-01 15:47:48+00:00,2024-06-01 22:32:40+00:00,deconstruct overlay stays on already deconstructed blocks ,['bug'],6.747777777777777
9908,closed,phamdung3,2024-06-01 04:35:27+00:00,2024-06-01 04:58:31+00:00,không thể tăng ram cho mndustry để cài mod,['bug'],0.3844444444444444
9907,closed,lukanin12,2024-05-31 21:34:26+00:00,2024-05-31 21:57:23+00:00,-x^0=1 (must be = -1),['bug'],0.3825
9905,closed,Galahadagent,2024-05-31 12:21:31+00:00,2024-05-31 13:30:22+00:00,mindustry background music can't be loaded(played),['bug'],1.1475
9901,closed,Deiteriy2,2024-05-30 18:14:22+00:00,2024-05-30 18:39:25+00:00,beryllium on serpulo ,['bug'],0.4175
9900,closed,Pixelstormer,2024-05-30 13:20:57+00:00,2024-05-30 14:49:41+00:00,world processor spawning ghost units,['bug'],1.478888888888889
9899,closed,PosionFox,2024-05-30 01:16:18+00:00,2024-05-30 01:44:22+00:00,game takes almost a minute to boot up when there is no internet,['bug'],0.4677777777777778
9898,closed,eclipse1408,2024-05-29 23:30:33+00:00,2024-05-30 00:04:33+00:00,chat doesn't exist,['bug'],0.5666666666666667
9897,closed,SITUVNgcd,2024-05-29 15:45:57+00:00,2024-05-29 16:51:36+00:00,the dark side of the moon,['bug'],1.0941666666666667
9896,closed,sharpenedblade,2024-05-29 03:15:35+00:00,2024-05-29 03:39:12+00:00,no units and players in multiplayer,['bug'],0.39361111111111113
9895,closed,PsyNyde,2024-05-28 18:05:00+00:00,2024-05-28 18:31:00+00:00,mods not loading,['bug'],0.43333333333333335
9894,closed,ganchek9957,2024-05-28 09:46:09+00:00,2024-05-28 13:57:09+00:00,mindustry,['bug'],4.183333333333334
9892,closed,TwoRincewind,2024-05-27 12:36:30+00:00,2024-05-27 13:40:57+00:00,elude's bullets cannot damage another elude,['bug'],1.0741666666666667
9891,closed,VulcanIsMyDad,2024-05-27 08:55:38+00:00,2024-05-27 13:37:37+00:00,game crashes when joining a community server,['bug'],4.699722222222222
9890,closed,PigpoleEnjoer,2024-05-26 19:29:52+00:00,2024-05-26 20:13:49+00:00,issues with launching the game,['bug'],0.7325
9888,closed,SITUVNgcd,2024-05-26 12:12:09+00:00,2024-05-26 13:31:44+00:00,world processor setprop @health block 0 bug while auto-target turn on,['bug'],1.3263888888888888
9885,closed,A4-Tacks,2024-05-26 08:41:44+00:00,2024-05-26 13:03:23+00:00,oom issues encountered while playing sector.stronghold,['bug'],4.360833333333333
9884,closed,mahdoosh1,2024-05-25 14:24:20+00:00,2024-05-25 14:39:34+00:00,a client can build unresearched blocks in champaign,['bug'],0.2538888888888889
9883,closed,cheburashka777,2024-05-25 08:59:14+00:00,2024-05-25 12:51:22+00:00,"when importing data, saves are not imported.",['bug'],3.868888888888889
9881,closed,KirBo111111,2024-05-25 06:59:43+00:00,2024-05-25 12:44:33+00:00,игра стала баговаться,['bug'],5.747222222222222
9879,closed,Hlorit,2024-05-24 06:22:27+00:00,2024-05-24 13:50:07+00:00,не отображаются глобальные сервера. ,['bug'],7.461111111111111
9878,closed,cheburashka777,2024-05-23 11:25:45+00:00,2024-05-23 11:40:17+00:00,mindustry won't load,['bug'],0.24222222222222223
9877,closed,KirBo111111,2024-05-23 11:16:53+00:00,2024-05-23 15:45:38+00:00,серпуло не работает,['bug'],4.479166666666667
9876,closed,pieshrimp95,2024-05-23 02:57:33+00:00,2024-05-23 15:54:36+00:00,armored conveyor seems lazy to change state when overdrive projector turned off,['bug'],12.950833333333334
9875,closed,JasonP01,2024-05-23 00:05:43+00:00,2024-05-23 00:19:58+00:00,"very bugged map, idek",['bug'],0.2375
9874,closed,iRatzeyMezeri,2024-05-22 19:08:01+00:00,2024-05-22 20:28:24+00:00,modded map exporting or importing exits the game on mobile,['bug'],1.3397222222222223
9873,closed,Galahadagent,2024-05-22 18:55:25+00:00,2024-05-22 20:31:19+00:00,different wave information at the same time in the sector 205,['bug'],1.5983333333333334
9872,closed,Oti180,2024-05-22 15:49:29+00:00,2024-05-22 16:02:05+00:00,ошибка при скачивание модификаторы и не нахождения сервера,['bug'],0.21
9871,closed,Vldtzzz,2024-05-22 14:59:43+00:00,2024-05-22 15:21:31+00:00,suddenly i got attacked by over 100 units,['bug'],0.36333333333333334
9870,closed,xianquu,2024-05-22 11:57:47+00:00,2024-05-22 13:14:14+00:00,chinese website steals mindustry bgm,['bug'],1.2741666666666667
9867,closed,Neoz30,2024-05-20 08:38:30+00:00,2024-05-20 13:27:41+00:00,wrong key in control menu with azerty layout but work fine in game,['bug'],4.8197222222222225
9863,closed,RandomsongV2,2024-05-19 19:51:51+00:00,2024-05-19 20:13:44+00:00,network bug,['bug'],0.3647222222222222
9862,closed,glotok,2024-05-19 17:33:39+00:00,2024-05-19 18:23:40+00:00,mindustry crashed,['bug'],0.8336111111111111
9860,closed,vadim556,2024-05-19 09:31:57+00:00,2024-05-19 13:21:14+00:00,mindustry has crashed java.lang.illegalargumentexception: initialcapacity is too large: 64 help please,['bug'],3.821388888888889
9858,closed,theshizik,2024-05-19 04:31:29+00:00,2024-05-19 04:34:12+00:00,crash after time,['bug'],0.04527777777777778
9856,closed,XenXL,2024-05-16 21:50:24+00:00,2024-05-16 21:52:58+00:00,bug on sector 210,['bug'],0.042777777777777776
