sha,date,author,message,files_changed,files_commited,month
0582ba1c47968c76db85a02a0c27745705b8bd36,2023-01-07 16:23:55+00:00,Anuken,Oct now has an octagon shield,3,"['core/src/mindustry/content/UnitTypes.java', 'core/src/mindustry/entities/abilities/ForceFieldAbility.java', 'gradle.properties']",2023-01
30e36d5640030e56c5f002f2274ce57ca19b360b,2023-01-07 16:24:02+00:00,Anuken,Merge remote-tracking branch 'origin/master',2,"['core/assets/maps/stronghold.msav', 'servers_v7.json']",2023-01
c0b819ec9b53dde521ea84080ec0d264ce6e5f01,2023-01-07 16:27:15+00:00,Anuken,Fixed #7952,1,['core/src/mindustry/entities/comp/UnitComp.java'],2023-01
a5fd29e56d03171c5b959a0e1b5820bde72c4f26,2023-01-07 16:28:01+00:00,buthed010203,"Fix crash when toString returns null value (#8067)

* Fix crash when toString returns null value

* Return a string from NullUnit toString

* Begone redundancy

* Unwrap before null check to ensure non-nullability",2,"['annotations/src/main/java/mindustry/annotations/entity/EntityProcess.java', 'core/src/mindustry/mod/Scripts.java']",2023-01
b57cde71482dc2797d473710f5c4ab4cdfb69a22,2023-01-07 16:29:46+00:00,Garen7,"Fixes polies helping the enemy team in pvp (#8056)

Co-authored-by: Garen7 <Garen7@users.noreply.github.com>",1,['core/src/mindustry/ai/types/BuilderAI.java'],2023-01
c20d7f2b4fd54eba0222160a041674c7cb220016,2023-01-07 16:30:49+00:00,Garen7,"Fixes the damage modifier not working sometimes (#8124)

Co-authored-by: Garen7 <Garen7@users.noreply.github.com>",6,"['core/src/mindustry/entities/Lightning.java', 'core/src/mindustry/entities/abilities/EnergyFieldAbility.java', 'core/src/mindustry/entities/comp/CrawlComp.java', 'core/src/mindustry/entities/comp/LegsComp.java', 'core/src/mindustry/entities/comp/TankComp.java', 'core/src/mindustry/entities/comp/UnitComp.java']",2023-01
64a93770067a11e768bb85c7219bb1118b71add4,2023-01-07 16:36:48+00:00,Anuken,#8040 but better,1,['core/src/mindustry/world/blocks/power/PowerGraph.java'],2023-01
4d77a6d475ef145085214b81558e11b58fb4e713,2023-01-07 16:36:52+00:00,Anuken,Merge remote-tracking branch 'origin/master',9,"['annotations/src/main/java/mindustry/annotations/entity/EntityProcess.java', 'core/src/mindustry/ai/types/BuilderAI.java', 'core/src/mindustry/entities/Lightning.java', 'core/src/mindustry/entities/abilities/EnergyFieldAbility.java', 'core/src/mindustry/entities/comp/CrawlComp.java', 'core/src/mindustry/entities/comp/LegsComp.java', 'core/src/mindustry/entities/comp/TankComp.java', 'core/src/mindustry/entities/comp/UnitComp.java', 'core/src/mindustry/mod/Scripts.java']",2023-01
9af9e1459d4a5cf65e26abbf2b142df03e7852d0,2023-01-07 16:37:39+00:00,MEEPofFaith,Fix only 1 ammoType displaying with missile units (#8020),1,['core/src/mindustry/world/meta/StatValues.java'],2023-01
9dcb8b7bd5870a7b17638cf608088e78d2a316fe,2023-01-07 16:38:12+00:00,stacktrace-error,"yay more hardcoded regions (#8021)

* change fuckall

* more of this

* typo",2,"['core/src/mindustry/world/blocks/production/BeamDrill.java', 'core/src/mindustry/world/draw/DrawPistons.java']",2023-01
b18fd82a212fd11e948e7ea801e971dcf1d79001,2023-01-07 16:39:05+00:00,end-me-please,Update LogicBlock.java (#8032),1,['core/src/mindustry/world/blocks/logic/LogicBlock.java'],2023-01
2809a083a0efdc2d0af29a9351fef4c174d140b0,2023-01-07 16:39:31+00:00,kituta,"Update bundle_ja.properties (#8006)

* Update bundle_ja.properties

一部を翻訳 // Translated in part.

1244 Factions 派閥ではなくチームでも良いかもしれません

* Update bundle_ja.properties

セクター名と説明文 //Sector Name and Description
ブロックの説明文 //Block Description

* Update bundle_ja.properties

Jun 3, 2021 Partial 7.0 merge - API preview から Nov 14, 2022 Revert hold time までの原語版の追記変更を適用しました。//Applied changes additions from Jun 3, 2021 to Nov 14, 2022.
チュートリアル、現在目標(左上)、ユニット説明文などを翻訳//Translated tutorial text, current target text (upper left), unit description, etc.

* Update bundle_ja.properties

* Update bundle_ja.properties

* Update bundle_ja.properties

* Update bundle_ja.properties

セルプロの説明文を原語版に合わせました。 // The description of Serpulo has been adapted to the original language version.
語句の変更 // Changed a word or phrase.

「依存関係」を「前提Mod」にしました。

* Update bundle_ja.properties

* Update bundle_ja.properties

* Update bundle_ja.properties

* Update bundle_ja.properties

ブロックの説明文を整理しました。 // Organized block descriptions.

* Update bundle_ja.properties

* Update bundle_ja.properties

* Update bundle_ja.properties

* Update bundle_ja.properties

Don't translate these yet! だったので戻しました。// Since it was ""Don't translate these yet!"", I returned the corresponding text.

* Update bundle_ja.properties

翻訳の追加と微修正 // Translations were added and minor corrections were made.

* Update bundle_ja.properties

脱字を修正 // Fixed a typo

* Update bundle_ja.properties

表記ゆれの統一 // Uniformity of notation

* Update bundle_ja.properties

* Update bundle_ja.properties

誤字の修正 // Correction of typos",1,['core/assets/bundles/bundle_ja.properties'],2023-01
bf07deafc6ebf6facc896eaa719c85190643348b,2023-01-07 16:40:17+00:00,unknown,Automatic bundle update,1,['core/assets/bundles/bundle_ja.properties'],2023-01
5af823664343a62556a3aced21b4d16eca857310,2023-01-07 16:43:07+00:00,MEEPofFaith,"Move beam drill facing update (Fix minor graphical glitch) (#8004)

* move beam drill facing update

* Add updateFacing back to updateTile

* Stop consuming if not drilling anything.",1,['core/src/mindustry/world/blocks/production/BeamDrill.java'],2023-01
a3a071e5200d3b2e28d9f9ab6b459b76b86f2d90,2023-01-07 16:43:23+00:00,Garen7,"Additional block build over options (#7993)

* Adds missing block groups

* Allows electrolyzers to be rotated by bulding over them too

Co-authored-by: Garen7 <Garen7@users.noreply.github.com>",3,"['core/src/mindustry/content/Blocks.java', 'core/src/mindustry/world/blocks/distribution/DirectionalUnloader.java', 'core/src/mindustry/world/blocks/payloads/PayloadConveyor.java']",2023-01
2c103c157a6ffe5ee9a3af11a7db7c663791e257,2023-01-07 16:44:08+00:00,Zelaux,Fixed boolean setters for Structs (#8041),1,['annotations/src/main/java/mindustry/annotations/impl/StructProcess.java'],2023-01
eb9b0f69bbe0aa699811232780177b7916883203,2023-01-07 16:44:25+00:00,Nunting,Update bundle_ko.properties (#7992),1,['core/assets/bundles/bundle_ko.properties'],2023-01
cb5351419b4df66b7d3cdb3f288b76564d7ed9e3,2023-01-07 16:45:25+00:00,Garen7,"Updates android Readme and Gradle (#7942)

Co-authored-by: Garen7 <Garen7@users.noreply.github.com>",2,"['README.md', 'android/build.gradle']",2023-01
0d26b9e4f853e7788336129ea67b5152acee5692,2023-01-07 16:45:33+00:00,whert-dev,Added angleOffset to DrawPistons (#7950),1,['core/src/mindustry/world/draw/DrawPistons.java'],2023-01
6eadac38b717db5793dcb9d97097e5acb8541f60,2023-01-07 16:46:14+00:00,MEEPofFaith,placeEffect (#7968),6,"['core/src/mindustry/core/Control.java', 'core/src/mindustry/entities/comp/PayloadComp.java', 'core/src/mindustry/world/Block.java', 'core/src/mindustry/world/blocks/ConstructBlock.java', 'core/src/mindustry/world/blocks/payloads/BlockProducer.java', 'core/src/mindustry/world/blocks/storage/CoreBlock.java']",2023-01
47353cc80854aa861b212d97b985e4ed892b9434,2023-01-07 16:49:59+00:00,MEEPofFaith,"Power icon (#7901)

* Power icon

* Less yellow yelloow",1,['core/src/mindustry/world/meta/StatUnit.java'],2023-01
1236e8d3423ff6bd167c2c77eafcc151e959611f,2023-01-07 17:03:54+00:00,Anuken,Fixed #7922,1,['core/src/mindustry/world/blocks/logic/MessageBlock.java'],2023-01
