path,size,extension
.gitignore,2563,gitignore
contributing.md,5816,md
issues.md,3289,md
license,32422,no_extension
readme.md,3760,md
serverlist.md,3844,md
translating.md,3359,md
build.gradle,15792,gradle
gradle.properties,1439,properties
gradlew,5766,no_extension
gradlew.bat,2674,bat
jitpack.yml,270,yml
servers_be.json,581,json
servers_v6.json,513,json
servers_v7.json,11776,json
settings.gradle,1465,gradle
.github/mindustry-codestyle-ij.xml,4736,xml
.github/pull_request_template.md,394,md
android/androidmanifest.xml,2108,xml
android/build.gradle,4784,gradle
android/ic_launcher-web.png,89121,png
android/proguard-rules.pro,356,pro
annotations/build.gradle,110,gradle
core/build.gradle,142,gradle
desktop/build.gradle,7565,gradle
fastlane/appfile,75,no_extension
fastlane/fastfile,1140,no_extension
ios/info.plist.xml,5525,xml
ios/build.gradle,2504,gradle
ios/convert_audio.sh,235,sh
ios/robovm.xml,2148,xml
server/build.gradle,2231,gradle
server/run-jar,387,no_extension
server/run-server,450,no_extension
tests/build.gradle,59,gradle
tools/build.gradle,12578,gradle
tools/run-newline,370,no_extension
.github/issue_template/bug_report.yml,2880,yml
.github/issue_template/config.yml,405,yml
.github/workflows/deployment.yml,3429,yml
.github/workflows/gradle-wrapper-validation.yml,223,yml
.github/workflows/pr.yml,713,yml
.github/workflows/push.yml,2047,yml
core/assets/contributors,1895,no_extension
core/assets/logicids.dat,4650,dat
gradle/wrapper/gradle-wrapper.jar,59203,jar
gradle/wrapper/gradle-wrapper.properties,202,properties
server/server_template/run_server.bat,31,bat
server/server_template/run_server.sh,41,sh
android/res/drawable/ic_launcher_background.png,45824,png
android/res/drawable/ic_launcher_foreground.png,28222,png
android/res/mipmap-anydpi-v26/ic_launcher.xml,267,xml
android/res/mipmap-anydpi-v26/ic_launcher_round.xml,267,xml
android/res/mipmap-hdpi/ic_launcher.png,6272,png
android/res/mipmap-hdpi/ic_launcher_background.png,5098,png
android/res/mipmap-hdpi/ic_launcher_foreground.png,8450,png
android/res/mipmap-hdpi/ic_launcher_round.png,7734,png
android/res/mipmap-mdpi/ic_launcher.png,4171,png
android/res/mipmap-mdpi/ic_launcher_background.png,2898,png
android/res/mipmap-mdpi/ic_launcher_foreground.png,5221,png
android/res/mipmap-mdpi/ic_launcher_round.png,4445,png
android/res/mipmap-xhdpi/ic_launcher.png,9733,png
android/res/mipmap-xhdpi/ic_launcher_background.png,7596,png
android/res/mipmap-xhdpi/ic_launcher_foreground.png,12122,png
android/res/mipmap-xhdpi/ic_launcher_round.png,11436,png
android/res/mipmap-xxhdpi/ic_launcher.png,17332,png
android/res/mipmap-xxhdpi/ic_launcher_background.png,16742,png
android/res/mipmap-xxhdpi/ic_launcher_foreground.png,21286,png
android/res/mipmap-xxhdpi/ic_launcher_round.png,20740,png
android/res/mipmap-xxxhdpi/ic_launcher.png,23916,png
android/res/mipmap-xxxhdpi/ic_launcher_background.png,24655,png
android/res/mipmap-xxxhdpi/ic_launcher_foreground.png,31169,png
android/res/mipmap-xxxhdpi/ic_launcher_round.png,29691,png
android/res/values-v21/styles.xml,553,xml
android/res/values/strings.xml,111,xml
android/res/values/styles.xml,493,xml
android/res/xml/backup_rules.xml,85,xml
core/assets-raw/fontgen/config.json,55836,json
core/assets-raw/fontgen/merge.pe,37,pe
core/assets-raw/icons/about.png,95,png
core/assets-raw/icons/add.png,99,png
core/assets-raw/icons/admin.png,3781,png
