number,state,created_at,merged_at,closed_at,title,time_to_merge
9938,closed,2024-06-12 11:56:22+00:00,2024-06-12 21:33:24+00:00,2024-06-12 21:33:24+00:00,Update servers_v7.json,9.617222222222223
9937,closed,2024-06-12 04:17:43+00:00,2024-06-12 21:33:18+00:00,2024-06-12 21:33:18+00:00,Update servers_v7.json,17.259722222222223
9936,closed,2024-06-12 00:52:34+00:00,2024-06-12 21:33:12+00:00,2024-06-12 21:33:12+00:00,Update servers_v7.json,20.677222222222223
9933,closed,2024-06-11 14:53:46+00:00,2024-06-12 21:32:53+00:00,2024-06-12 21:32:53+00:00,JSON Stuff,30.651944444444446
9932,closed,2024-06-10 12:41:31+00:00,2024-06-12 21:32:35+00:00,2024-06-12 21:32:35+00:00,Update servers_v7.json,56.85111111111111
9927,closed,2024-06-07 20:00:41+00:00,2024-06-12 21:32:28+00:00,2024-06-12 21:32:28+00:00,Update servers_v7.json,121.52972222222222
9924,closed,2024-06-06 11:03:25+00:00,2024-06-12 21:30:37+00:00,2024-06-12 21:30:37+00:00,[READY_TO_MERGE] Ukrainian translation,154.45333333333335
9915,closed,2024-06-02 07:20:00+00:00,2024-06-02 17:20:18+00:00,2024-06-02 17:20:18+00:00,Allow json mods to modify mass driver bullets,10.005
9914,closed,2024-06-02 06:05:41+00:00,2024-06-12 21:52:36+00:00,2024-06-12 21:52:36+00:00,Update servers_v7.json,255.78194444444443
9912,closed,2024-06-01 21:39:50+00:00,2024-06-01 22:37:16+00:00,2024-06-01 22:37:16+00:00,Update servers_v7.json,0.9572222222222222
9910,closed,2024-06-01 07:45:12+00:00,2024-06-01 13:32:13+00:00,2024-06-01 13:32:13+00:00,Update servers_v7.json,5.783611111111111
9904,closed,2024-05-31 07:12:48+00:00,2024-05-31 13:31:29+00:00,2024-05-31 13:31:29+00:00,Update Name,6.311388888888889
9893,closed,2024-05-27 13:27:04+00:00,2024-05-27 14:03:19+00:00,2024-05-27 14:03:19+00:00,Update servers_v7.json,0.6041666666666666
9889,closed,2024-05-26 18:54:24+00:00,2024-05-27 22:01:16+00:00,2024-05-27 22:01:16+00:00,Update servers_v7.json,27.114444444444445
9887,closed,2024-05-26 10:59:13+00:00,2024-05-30 22:18:52+00:00,2024-05-30 22:18:52+00:00,Double-check translations for Vietnamese,107.3275
9882,closed,2024-05-25 07:07:37+00:00,2024-05-25 12:51:43+00:00,2024-05-25 12:51:43+00:00,Update bundle_hu.properties,5.735
9880,closed,2024-05-25 05:09:26+00:00,2024-05-25 12:51:37+00:00,2024-05-25 12:51:37+00:00,"2D2R (Update servers_v7.json, updated IP)",7.703055555555555
9868,closed,2024-05-20 14:44:44+00:00,2024-05-26 02:09:29+00:00,2024-05-26 02:09:29+00:00,Update servers_v7.json: factory server,131.4125
9866,closed,2024-05-20 06:05:24+00:00,2024-05-20 13:33:49+00:00,2024-05-20 13:33:49+00:00,2D2R (Update servers_v7.json),7.473611111111111
9859,closed,2024-05-19 09:07:44+00:00,2024-05-19 13:21:30+00:00,2024-05-19 13:21:30+00:00,Update bundle_hu.properties,4.229444444444445
9857,closed,2024-05-18 17:27:46+00:00,2024-05-18 18:25:41+00:00,2024-05-18 18:25:42+00:00,Fix BeamDrill not work when multiple items,0.9652777777777778
9853,closed,2024-05-15 08:13:18+00:00,2024-05-15 13:40:35+00:00,2024-05-15 13:40:35+00:00,Update servers_v7.json,5.454722222222222
9850,closed,2024-05-13 20:32:09+00:00,2024-05-13 21:23:27+00:00,2024-05-13 21:23:27+00:00,Update servers_v7.json,0.855
9849,closed,2024-05-13 17:24:14+00:00,2024-05-13 17:53:22+00:00,2024-05-13 17:53:22+00:00,Update servers_v7.json,0.4855555555555556
9846,closed,2024-05-13 07:51:42+00:00,2024-05-13 14:30:43+00:00,2024-05-13 14:30:43+00:00,We have a domain now (`mindurka.fun`),6.650277777777778
