source,target,weight
Anuken,BalaM314,2
Anuken,Baldur404,16
Anuken,Brandons404,47
Anuken,Darkness6030,49
Anuken,DikHalz,43
Anuken,DinnerWool,8
Anuken,Epowerj,13
Anuken,Fischer1000,4
Anuken,Garen7,1
Anuken,HamzaGSopp,22
Anuken,J0anJosep,23
Anuken,JniTrRny,27
Anuken,Khanx,2
Anuken,Kieaer,11
Anuken,Knochi,3
Anuken,KotMilkMeoWtwo,14
Anuken,Kowkodivka,24
Anuken,L0615T1C5-216AC-9437,27
Anuken,LeTuanVN,3
Anuken,MEEPofFaith,99
Anuken,MWestfall,7
Anuken,MaxSMokeSkaarj,8
Anuken,Miniontoby,2
Anuken,MrS-1302,6
Anuken,NgLam2911,6
Anuken,NoahvdAa,5
Anuken,Nunting,15
Anuken,Prosta4okua,4
Anuken,SITUVNgcd,2
Anuken,SSTentacleSS,92
Anuken,SachaTending,10
Anuken,Slotterleet,1
Anuken,Somka000,4
Anuken,SunkyMP3G,8
Anuken,Suportik-GFX,44
Anuken,TNT331,5
Anuken,Taras4k,18
Anuken,TheRadioactiveBanana,36
Anuken,TheTrueInfinity,23
Anuken,VaporSpace2,3
Anuken,Volas171,46
Anuken,Xasmedy,8
Anuken,Xenerain,2
Anuken,adamlolgaming,2
Anuken,buthed010203,1
Anuken,code-explorer786,1
Anuken,commel,10
Anuken,eSK8er,10
Anuken,ferrandusqui31,5
Anuken,gorodmi,8
Anuken,lemon3357,26
Anuken,nanmenyangde,6
Anuken,osp54,58
Anuken,phinner,31
Anuken,phoskee,7
Anuken,romanin-rf,5
Anuken,thedimas3007,22
Anuken,twinflac,37
Anuken,ulwepo,29
Anuken,way-zer,24
Anuken,xem8k5,4
BalaM314,Anuken,1
BalaM314,JniTrRny,1
Baldur404,Anuken,10
Baldur404,Brandons404,2
Baldur404,Darkness6030,1
Baldur404,DikHalz,2
Baldur404,HamzaGSopp,1
Baldur404,Kowkodivka,1
Baldur404,L0615T1C5-216AC-9437,1
Baldur404,SSTentacleSS,1
Baldur404,Suportik-GFX,2
Baldur404,Taras4k,1
Baldur404,TheRadioactiveBanana,1
Baldur404,TheTrueInfinity,1
Baldur404,Volas171,1
Baldur404,lemon3357,1
Baldur404,osp54,2
Baldur404,phinner,1
Baldur404,thedimas3007,1
Brandons404,Anuken,5
Brandons404,Darkness6030,1
Brandons404,DikHalz,1
Brandons404,HamzaGSopp,1
Brandons404,L0615T1C5-216AC-9437,1
Brandons404,Suportik-GFX,2
Brandons404,Volas171,1
Brandons404,lemon3357,2
Brandons404,phinner,1
Darkness6030,Anuken,45
Darkness6030,Baldur404,1
Darkness6030,Brandons404,3
Darkness6030,DikHalz,2
Darkness6030,HamzaGSopp,1
Darkness6030,Kowkodivka,2
Darkness6030,L0615T1C5-216AC-9437,2
Darkness6030,MEEPofFaith,4
Darkness6030,SSTentacleSS,2
Darkness6030,SunkyMP3G,1
Darkness6030,Suportik-GFX,2
Darkness6030,Taras4k,1
Darkness6030,TheRadioactiveBanana,1
Darkness6030,TheTrueInfinity,1
Darkness6030,Volas171,1
Darkness6030,Xasmedy,3
Darkness6030,lemon3357,2
Darkness6030,nanmenyangde,1
Darkness6030,osp54,2
Darkness6030,phinner,1
Darkness6030,thedimas3007,1
Darkness6030,way-zer,3
DikHalz,Anuken,35
DikHalz,Baldur404,1
DikHalz,Brandons404,5
DikHalz,Darkness6030,4
DikHalz,DinnerWool,1
DikHalz,Epowerj,1
DikHalz,HamzaGSopp,2
DikHalz,KotMilkMeoWtwo,1
DikHalz,Kowkodivka,1
DikHalz,L0615T1C5-216AC-9437,3
DikHalz,MWestfall,1
DikHalz,MaxSMokeSkaarj,2
DikHalz,MrS-1302,1
DikHalz,SSTentacleSS,7
DikHalz,SachaTending,1
DikHalz,Somka000,1
DikHalz,Suportik-GFX,4
DikHalz,TNT331,1
DikHalz,Taras4k,1
DikHalz,TheRadioactiveBanana,3
DikHalz,TheTrueInfinity,3
DikHalz,VaporSpace2,1
DikHalz,Volas171,5
DikHalz,Xenerain,1
DikHalz,eSK8er,1
DikHalz,lemon3357,3
DikHalz,osp54,5
DikHalz,phinner,2
DikHalz,romanin-rf,1
DikHalz,thedimas3007,2
DikHalz,ulwepo,1
DikHalz,way-zer,1
DikHalz,xem8k5,1
DinnerWool,Anuken,18
DinnerWool,Baldur404,1
DinnerWool,Brandons404,2
