number,state,created_at,closed_at,title
9926,closed,2024-06-07 03:37:29+00:00,2024-06-13 00:24:18+00:00,World Sensors
9921,closed,2024-06-04 10:01:41+00:00,2024-06-06 05:59:12+00:00,Update servers_v7.json
9920,closed,2024-06-03 13:32:32+00:00,2024-06-11 07:13:00+00:00,Update servers_v7.json
9918,closed,2024-06-02 18:39:36+00:00,2024-06-11 14:52:04+00:00,More `MassDriverBolt` fixes
9916,closed,2024-06-02 10:50:44+00:00,2024-06-02 17:24:44+00:00,Update servers_v7.json
9906,closed,2024-05-31 17:28:37+00:00,2024-06-01 21:37:47+00:00,Update servers_v7.json
9902,closed,2024-05-31 00:20:52+00:00,2024-05-31 00:47:57+00:00,put the ACP servers higher in the list
9869,closed,2024-05-21 12:30:47+00:00,2024-05-27 14:03:37+00:00,Update servers_v7.json
9865,closed,2024-05-20 05:51:47+00:00,2024-05-20 13:33:25+00:00,Update servers_v7.json
9861,closed,2024-05-19 14:58:46+00:00,2024-05-20 13:34:23+00:00,Update servers_v7.json
9851,closed,2024-05-14 09:25:54+00:00,2024-05-19 12:11:01+00:00,Update servers_v7.json
9848,closed,2024-05-13 14:30:21+00:00,2024-05-22 14:32:26+00:00,Update servers_v7.json
9839,closed,2024-05-12 07:14:59+00:00,2024-05-14 09:24:37+00:00,Update servers_v7.json
9836,closed,2024-05-11 02:35:14+00:00,2024-05-12 07:14:24+00:00,Update servers_v7.json
9832,closed,2024-05-09 16:25:24+00:00,2024-05-22 14:32:18+00:00,Update servers_v7.json
9830,closed,2024-05-09 13:33:24+00:00,2024-05-09 17:24:01+00:00,Update servers_v7.json
9827,closed,2024-05-08 14:06:39+00:00,2024-05-09 06:11:13+00:00,"Temporary ISP downtime in UK, need rush to be online asap"
9800,closed,2024-05-02 09:49:44+00:00,2024-05-04 13:28:11+00:00,Update servers_v7.json
9790,closed,2024-04-28 07:21:10+00:00,2024-04-28 12:46:51+00:00,allow units to mine coal and sand
9785,closed,2024-04-26 21:56:08+00:00,2024-04-26 23:23:19+00:00,Switch order of literals to prevent NullPointerException
9780,closed,2024-04-25 03:09:58+00:00,2024-04-25 03:41:32+00:00,Display Maximum Number of Rounds (or Shots) In Info
9775,closed,2024-04-23 22:51:22+00:00,2024-04-23 22:54:20+00:00,Update servers_v7.json
9764,closed,2024-04-21 11:41:28+00:00,2024-04-21 14:27:50+00:00,Better light blending
9757,closed,2024-04-20 09:07:05+00:00,2024-04-20 11:28:33+00:00,allow modders to customize vanilla AIs..?
9754,closed,2024-04-18 19:13:41+00:00,2024-04-24 16:39:32+00:00,Implementing Mindustry-Suggestions#4959
9751,closed,2024-04-16 06:25:05+00:00,2024-04-20 07:30:45+00:00,Fixed some issues when construct a rotated block with missing region or awful rotation
9737,closed,2024-04-12 13:58:38+00:00,2024-04-13 12:37:08+00:00,Add UnitCommandEvent
9716,closed,2024-04-07 01:02:35+00:00,2024-04-07 02:59:22+00:00,Update servers_v7.json (vndustry is comeback?)
9702,closed,2024-04-02 02:54:18+00:00,2024-04-02 03:04:30+00:00,Code smells detected and refactored
9701,closed,2024-04-01 19:09:41+00:00,2024-04-06 16:37:29+00:00,wex balancing
9691,closed,2024-03-31 10:07:31+00:00,2024-04-06 01:00:45+00:00,Fix snow weather name not match with bundle
9689,closed,2024-03-31 04:36:54+00:00,2024-04-01 07:06:35+00:00,Update servers_v7.json
9678,closed,2024-03-26 03:11:11+00:00,2024-04-17 14:02:18+00:00,"Trail, pierce and weave delaying"
9668,closed,2024-03-23 05:33:05+00:00,2024-03-23 08:52:51+00:00,Update servers_v7.json
9667,closed,2024-03-23 04:40:49+00:00,2024-04-02 09:48:40+00:00,"Allow fetching unit by type, and build without type"
9620,closed,2024-03-03 16:58:43+00:00,2024-03-03 17:22:35+00:00,Update servers_v7.json
9619,closed,2024-03-03 16:57:04+00:00,2024-03-03 16:57:22+00:00,Update servers_v7.json
9608,closed,2024-03-02 13:35:55+00:00,2024-03-03 17:22:49+00:00,Update servers_v7.json
9606,closed,2024-03-02 12:36:58+00:00,2024-03-02 13:33:56+00:00,Update servers_v7.json
9603,closed,2024-03-01 21:49:15+00:00,2024-03-01 22:11:10+00:00,[AMENDED] Add diagonal symmetry compat
9600,closed,2024-02-29 12:41:13+00:00,2024-02-29 12:42:21+00:00,Update servers_v7.json
9594,closed,2024-02-26 13:39:40+00:00,2024-03-13 08:53:22+00:00,Update bundle_ko.properties
9593,closed,2024-02-25 20:22:03+00:00,2024-02-25 20:40:37+00:00,Add diagonal symmetry compat
9578,closed,2024-02-21 13:39:10+00:00,2024-02-21 13:39:26+00:00,Update servers_v7.json
9575,closed,2024-02-20 11:32:41+00:00,2024-02-20 16:14:41+00:00,Update servers_v7.json
9574,closed,2024-02-20 11:05:18+00:00,2024-02-20 14:50:15+00:00,Update servers_v7.json
9555,closed,2024-02-14 20:19:14+00:00,2024-02-14 20:25:18+00:00,Turret animations
9554,closed,2024-02-14 19:38:10+00:00,2024-02-14 19:46:09+00:00,Serpulo Turret Animations
9546,closed,2024-02-13 19:14:47+00:00,2024-02-14 13:37:18+00:00,Foreshadow anims
9542,closed,2024-02-13 03:25:07+00:00,2024-02-14 13:37:28+00:00,Meltdown anims
9540,closed,2024-02-12 04:03:00+00:00,2024-02-14 13:37:36+00:00,Ripple animation
9531,closed,2024-02-10 09:34:03+00:00,2024-03-09 22:58:19+00:00,Update servers_v7.json
9529,closed,2024-02-10 06:12:34+00:00,2024-02-10 06:26:25+00:00,Update bundle_vi.properties
9492,closed,2024-01-27 07:34:11+00:00,2024-01-27 14:22:05+00:00,Added logic sensor to unit spawned wave number
9478,closed,2024-01-20 13:00:37+00:00,2024-03-09 17:00:35+00:00,Update bundle_ca.properties
9460,closed,2024-01-17 07:28:57+00:00,2024-01-17 07:29:34+00:00,Indonesian localization for Steam game page
9454,closed,2024-01-14 14:02:03+00:00,2024-01-16 13:22:12+00:00,Update bundle_hu.properties (Ready To Merge)
9451,closed,2024-01-13 14:53:04+00:00,2024-01-14 13:37:42+00:00,Update bundle_hu.properties (ready to merge)
9444,closed,2024-01-11 08:20:12+00:00,2024-03-29 19:09:58+00:00,Fixing typos in the Russian locale bundle
9435,closed,2024-01-07 08:47:43+00:00,2024-01-07 10:42:48+00:00,Fix Erekir campaign map OnSet
9416,closed,2023-12-30 02:10:38+00:00,2024-01-21 08:48:40+00:00,German Translation
9414,closed,2023-12-29 17:50:18+00:00,2023-12-29 17:52:10+00:00,Adding servers to Cyandustry
9390,closed,2023-12-17 16:50:44+00:00,2023-12-31 08:57:37+00:00,Update servers_v7.json
9372,closed,2023-12-12 06:00:38+00:00,2024-01-16 05:13:50+00:00,Remove Tendhost
9371,closed,2023-12-11 16:59:40+00:00,2023-12-31 08:57:15+00:00,Update servers_v7.json
9363,closed,2023-12-09 08:56:45+00:00,2023-12-09 13:39:16+00:00,Fix servers-v7.json
9351,closed,2023-12-06 15:53:58+00:00,2024-02-16 09:12:22+00:00,Update Vietnamese translation
9350,closed,2023-12-06 15:23:45+00:00,2023-12-06 16:55:14+00:00,Update servers_v7.json
9348,closed,2023-12-04 20:35:24+00:00,2023-12-07 15:03:11+00:00,Markers update
9344,closed,2023-12-03 22:57:33+00:00,2024-01-20 12:49:08+00:00,Update bundle_ca.properties
9339,closed,2023-12-02 14:57:30+00:00,2023-12-02 14:57:45+00:00,Update bundle_hu.properties
9316,closed,2023-11-25 20:47:53+00:00,2023-11-25 22:24:22+00:00,Test cases for previous code smells fix
9313,closed,2023-11-24 17:11:12+00:00,2023-11-25 12:17:42+00:00,Code smells fix
9308,closed,2023-11-23 15:47:27+00:00,2023-11-23 17:43:51+00:00,Update servers_v7.json
9306,closed,2023-11-23 15:17:07+00:00,2023-11-23 15:23:06+00:00,Update servers_v7.json
9305,closed,2023-11-23 09:43:44+00:00,2023-11-23 11:41:16+00:00,Update bundle_zh_CN.properties
9302,closed,2023-11-21 23:31:31+00:00,2023-11-22 08:05:17+00:00,Update servers_v7.json
9274,closed,2023-11-13 10:21:17+00:00,2023-11-16 05:34:25+00:00,Nerfs/Buffs to mono tree
9270,closed,2023-11-12 11:34:46+00:00,2023-11-30 14:43:55+00:00,increase the cost of the walls
9264,closed,2023-11-11 15:53:19+00:00,2023-12-02 14:54:53+00:00,Update bundle_hu.properties
9261,closed,2023-11-10 22:11:48+00:00,2023-11-10 22:27:06+00:00,tung cost for merui fac removed
9240,closed,2023-11-04 21:13:23+00:00,2023-11-04 21:46:04+00:00,Venomcoolbotbranch
9235,closed,2023-11-04 16:47:03+00:00,2023-12-06 15:47:05+00:00,Update Vietnamese translation
9228,closed,2023-11-03 00:20:08+00:00,2023-11-03 01:27:47+00:00,Assignment 1
9218,closed,2023-10-31 07:32:12+00:00,2023-10-31 12:37:18+00:00,setprop speed i guess
9210,closed,2023-10-28 16:17:13+00:00,2023-11-04 16:45:32+00:00,Update Vietnamese translations
9206,closed,2023-10-28 07:34:49+00:00,2023-10-28 07:35:37+00:00,Update bundle_hu.properties - The finishing touches
9202,closed,2023-10-26 12:54:51+00:00,2023-10-26 13:33:01+00:00,Update bundle hu.properties
9194,closed,2023-10-22 23:08:23+00:00,2023-10-23 08:27:37+00:00,`UnitAssembler` got away with it!
9186,closed,2023-10-21 08:28:31+00:00,2023-10-21 12:49:33+00:00,Update bundle_hu.properties
9185,closed,2023-10-21 07:59:17+00:00,2023-10-21 08:09:32+00:00,Update bundle hu.properties
9179,closed,2023-10-20 09:25:11+00:00,2023-10-21 07:58:19+00:00,Update bundle hu.properties
9161,closed,2023-10-13 07:52:06+00:00,2023-10-13 07:52:28+00:00,Update
9160,closed,2023-10-13 00:37:06+00:00,2023-10-13 03:06:17+00:00,Update Indonesian Language Translation
9157,closed,2023-10-12 08:11:55+00:00,2023-10-13 00:08:51+00:00,Update bundle_id_ID.properties
9154,closed,2023-10-11 14:16:29+00:00,2023-10-24 05:48:36+00:00,Update servers_v7.json
9151,closed,2023-10-10 15:59:44+00:00,2023-10-11 13:26:58+00:00,Update servers_v7.json
9147,closed,2023-10-08 16:36:54+00:00,2023-10-08 16:38:14+00:00,[deleted]
9145,closed,2023-10-08 07:53:02+00:00,2023-10-24 22:15:10+00:00,Update servers_v7.json
9142,closed,2023-10-06 19:03:22+00:00,2023-10-07 20:28:37+00:00,Update servers_v7.json
9133,closed,2023-10-03 18:08:44+00:00,2023-10-03 18:54:35+00:00,"Introduced protections against ""zip slip"" attacks "
9119,closed,2023-09-30 11:35:30+00:00,2023-10-28 16:12:56+00:00,Update Vietnamese translation
9117,closed,2023-09-30 02:33:17+00:00,2023-10-29 05:33:29+00:00,World cell upgrade
9114,closed,2023-09-29 14:04:12+00:00,2023-09-29 14:24:35+00:00,Update servers_v7.json
9113,closed,2023-09-29 14:01:31+00:00,2023-09-29 14:26:14+00:00,Update servers_v7.json
9107,closed,2023-09-28 19:09:35+00:00,2023-09-30 22:20:52+00:00,update bundle_es properties
9104,closed,2023-09-28 11:13:12+00:00,2023-09-30 19:33:17+00:00,Update servers_v7.json
9102,closed,2023-09-28 00:15:43+00:00,2023-09-28 13:03:55+00:00,armor to serpulo blocks
9090,closed,2023-09-24 00:46:47+00:00,2023-09-24 00:48:14+00:00,Change of ip
9082,closed,2023-09-22 01:10:23+00:00,2023-09-22 01:10:35+00:00,Added name to contributors
9081,closed,2023-09-22 01:06:10+00:00,2023-09-22 01:23:50+00:00,Minor buffs to Scathe
9080,closed,2023-09-21 08:47:35+00:00,2023-09-25 05:13:53+00:00,Don't destroyToDerelict privileged blocks
9069,closed,2023-09-18 18:50:08+00:00,2023-09-19 22:38:40+00:00,Update Servers_v7.json
9068,closed,2023-09-18 12:43:51+00:00,2023-09-23 11:12:38+00:00,(draft) StatusEffect with level
9067,closed,2023-09-18 11:14:05+00:00,2023-10-14 13:10:34+00:00,Remove Flush Message Having To Wait
9062,closed,2023-09-16 17:11:14+00:00,2023-11-30 14:43:39+00:00,build146 TR Translate and corrections
9059,closed,2023-09-15 15:06:10+00:00,2023-09-16 19:55:07+00:00,Update servers_v7.json
9036,closed,2023-09-09 06:04:33+00:00,2023-09-09 14:40:03+00:00,Update servers_v7.json
9016,closed,2023-09-04 11:15:47+00:00,2023-10-02 12:21:46+00:00,Update servers_v7.json
9008,closed,2023-09-03 13:27:58+00:00,2023-10-20 09:24:01+00:00,Update bundle hu.properties
9007,closed,2023-09-03 11:43:27+00:00,2023-09-03 13:28:16+00:00,Update bundle_hu.properties
9005,closed,2023-09-03 10:31:08+00:00,2023-09-03 10:35:35+00:00,Update servers_v7.json
9004,closed,2023-09-03 08:24:10+00:00,2023-09-03 10:27:46+00:00,Update servers_v7.json
9000,closed,2023-09-02 19:02:19+00:00,2024-06-06 11:02:53+00:00,Update bundle_uk_UA.properties
8991,closed,2023-08-30 15:31:05+00:00,2024-03-09 17:00:15+00:00,Update bundle_ca.properties
8986,closed,2023-08-29 06:20:11+00:00,2023-08-29 06:27:02+00:00,let DrawRegion drawer can draw regions rotate with building rotation
8984,closed,2023-08-28 21:50:10+00:00,2024-03-28 21:31:56+00:00,Edited some things in bundle_ru.properties
8980,closed,2023-08-27 16:23:46+00:00,2024-03-17 11:46:32+00:00,"Update Issue Template, to sound a bit less agressive and some bug fixes"
8970,closed,2023-08-24 10:32:30+00:00,2023-09-03 11:30:00+00:00,Update bundle_hu.properties
8969,closed,2023-08-24 09:17:04+00:00,2024-03-07 02:02:14+00:00,update some translations
8956,closed,2023-08-20 05:22:37+00:00,2023-12-20 09:52:27+00:00,Update bundle_zh_CN.properties
8943,closed,2023-08-17 01:49:01+00:00,2023-11-12 11:31:52+00:00,Make heat conductors under bullets
8931,closed,2023-08-14 08:43:26+00:00,2023-08-15 09:56:18+00:00,Update servers_v7.json
8929,closed,2023-08-14 04:18:32+00:00,2023-08-17 06:10:04+00:00,Make afflict can't be overdrived
8910,closed,2023-08-10 10:42:53+00:00,2023-08-10 10:50:46+00:00,Update servers_v7.json
8909,closed,2023-08-10 09:55:48+00:00,2023-08-10 10:36:40+00:00,Update servers_v7.json
8907,closed,2023-08-09 21:27:26+00:00,2023-08-09 21:31:12+00:00,Update server_v7.json
8902,closed,2023-08-07 07:14:09+00:00,2023-08-07 12:57:10+00:00,Make liquid routers unable to be picked up
8885,closed,2023-08-02 10:45:45+00:00,2024-04-25 22:54:04+00:00,More and Better Filipino Translations
8878,closed,2023-07-31 20:54:02+00:00,2023-08-01 13:12:55+00:00,Update servers_v7.json
8877,closed,2023-07-31 20:46:24+00:00,2023-07-31 20:46:55+00:00,Update servers_v7.json
8857,closed,2023-07-28 13:12:16+00:00,2023-07-29 13:27:17+00:00,add keys(AWSD) for moving ui for research dialog
8842,closed,2023-07-25 20:33:25+00:00,2024-03-17 11:46:32+00:00,Bug Report Form Improvements
8839,closed,2023-07-25 12:40:05+00:00,2023-07-25 14:23:17+00:00,Allow Gas Coolant
8835,closed,2023-07-24 08:33:59+00:00,2023-07-25 14:04:25+00:00,Same USID for same IP
8815,closed,2023-07-14 14:26:09+00:00,2023-07-23 20:25:53+00:00,Update servers_v7.json
8812,closed,2023-07-11 16:25:20+00:00,2023-07-23 20:26:06+00:00,Update servers_v7.json
8811,closed,2023-07-11 11:19:52+00:00,2023-07-11 16:23:04+00:00,Update servers_v7.json
8810,closed,2023-07-11 06:21:12+00:00,2023-07-23 20:30:31+00:00,Fix team color chaos caused by #8700
8808,closed,2023-07-10 00:10:33+00:00,2023-07-18 02:25:08+00:00,Fixed: Units lose LogicAI after reading.
8799,closed,2023-07-06 12:31:11+00:00,2023-07-23 20:27:39+00:00,Update servers_v7.json
8798,closed,2023-07-06 05:08:03+00:00,2023-07-06 07:07:26+00:00,Adding Some Vndustry Server
8786,closed,2023-07-02 07:31:51+00:00,2023-07-03 04:13:33+00:00,Add vaxe server
8783,closed,2023-07-01 06:17:11+00:00,2024-02-03 19:21:04+00:00,atNotShoot option for StatusFieldAbillity
8771,closed,2023-06-28 14:18:30+00:00,2023-10-06 11:36:31+00:00,Updated README
8763,closed,2023-06-27 18:11:37+00:00,2023-06-27 18:43:29+00:00,new contributor
8756,closed,2023-06-25 12:29:00+00:00,2023-06-25 14:24:25+00:00,Alphabetize contributers list
