sha,date,author,message,files_changed
9b6d95c507ce1dbd2c9a368040a2fe5aede08c31,2023-12-30 02:14:39+00:00,Anuken,Bigger stream packet size,1
33178c16357ec74094c018ea43fd7e24598419e5,2023-12-29 14:48:05+00:00,Anuken,Added launch hint for Erekir,2
d1d1454a5527cdf68cd9f78f147d57b0338c65bd,2023-12-28 21:36:03+00:00,Anuken,Merge remote-tracking branch 'origin/master',2
288ab37e6f330b456f6db79fa527dfac1d034079,2023-12-28 21:35:54+00:00,Anuken,Fixed derelict break hint persisting forever,1
6ce59b74bd46afb78cf543d89e7fd664a6f42e22,2023-12-25 13:56:59+00:00,a-big-fish-fish,Update servers_v7.json (#9408),1
2677ea5600a1cead61ffc0059c785672af749d1c,2023-12-25 03:56:12+00:00,Anuken,Update push.yml,1
3a646852801b2b5fb04cb9e0cfcdb500513d71ba,2023-12-25 02:14:44+00:00,Anuken,Minor clear optimization,2
93d4eaa970a16de4b40c09462092d1ae358d8b2f,2023-12-25 02:05:14+00:00,Anuken,Fixed logic display flicker with lower opacity graphics,1
5bf0193cb3e2c075a70be38564a45f1f36f00286,2023-12-24 21:29:51+00:00,Anuken,Fixed #9405,1
35df3202aed9dc7232be0150d10cb8408e1339f3,2023-12-23 14:16:48+00:00,BalaM314,"Add config option to disable logging trace requests (#9401)

* Add config option to disable logging trace requests

* Actually, just remove the trace logging

* Might as well
12 (soon 13) merged PRs",2
b2f76ea0bd561109ce90b70352baaa4651a8c338,2023-12-23 00:52:51+00:00,Anuken,Updated Arc,1
d8da46af879e4b810dfc533875d24978c3db55e0,2023-12-23 00:50:39+00:00,Anuken,Fixed #9399,1
790d1e144f2e006616a0a67c37be92b8334f37df,2023-12-19 14:08:00+00:00,112Hack,Update servers_v7.json (#9395),1
4495e85a4dc81b0b7a078e66cd7fcd56b9c55785,2023-12-17 01:39:07+00:00,HamzaGSopp,Update servers_v7.json (#9385),1
2a6dc573acd8afdb56a0f26605050b1018fd2803,2023-12-16 18:10:04+00:00,Anuken,Fixed FPS cap changes,1
180eb6d1f022f08c8759a452daaac24762a0b4ba,2023-12-16 17:13:09+00:00,NazrinNya,Update servers_v7.json (#9383),1
7d3bd7e71b9f9a8bb6f892b922774300e99f8f2c,2023-12-16 14:09:00+00:00,HamzaGSopp,Update servers_v7.json (#9382),1
41d19ce0cbd23c5f7a4d7a0942e838cf2d382944,2023-12-16 14:05:22+00:00,Anuken,Less confusing JITPack hash message,2
332d98148bb969ccdc0c6e3932ff405fa6a811ec,2023-12-15 17:21:42+00:00,Atomic-Laboratory,Update servers_v7.json (#9381),1
8ab37c5ce44ae04b8263511f709592d5310455bf,2023-12-15 16:39:30+00:00,ApsZoldat,Merge branch 'master' of https://github.com/Anuken/Mindustry into markers-update,22
df8f90a02b15647e3cc2b778d2a6768ce34d294d,2023-12-15 16:33:03+00:00,ApsZoldat,Small MapObjectives refactor (removal of duplicating overrided methods),1
13b78927f49c9fb9b8f507c09d830fed42fd4d54,2023-12-14 03:37:39+00:00,Anuken,Merge remote-tracking branch 'origin/master',3
3a485eb338df9a01087d0a1fab768a73138916ff,2023-12-14 03:37:31+00:00,Anuken,Fixed #9379,1
175153e8707bf30e3587ab26c042f77defe39863,2023-12-13 22:05:15+00:00,Estcool9,Update servers_v7.json Add My server mindustry est1.be (#9378),1
5d5783bf54119c30d18065d84649a9c1beaac477,2023-12-13 22:04:17+00:00,a-big-fish-fish,Update servers_v7.json (#9376),1
317a533b5cb1d48e13596237ee04d228a2774243,2023-12-13 15:24:08+00:00,ApsZoldat,millimicronanopico setmarker texture fix (object print consistency),1
5830259e411be063cb76649118dcec820c039821,2023-12-12 19:40:33+00:00,ApsZoldat,"Markers draw code refactor, minor text marker control changes",6
68b06fdea695603b759c255759af684f6bee42c1,2023-12-12 13:47:40+00:00,BalaM314,"Allow fetching unitCount by type, and buildCount without type (#9374)

* Allow fetching unitCount by type, and buildCount without type

* show in processor ui",2
588732c856ecfc5a560845381b6a9c0a5d5cf6e5,2023-12-11 12:46:37+00:00,Gadgetroch,"Update servers_v7.json (#9367)

Good morning,

Compared to your recommendations, everything was done except 2 things:
I left the connection/disconnect message because I am logging this in my discord server (protected channel)

I left the maps at default, to see over time.

Thank's",1
eeefdd8054cf0d6a8ca3665c2bd9b0a87757bc97,2023-12-11 02:55:21+00:00,Anuken,Crash fix,3
1eb70404d7e92bbfdd9ba329cb5f69a510fcd687,2023-12-11 01:01:40+00:00,Anuken,GC retention fixes,4
a0f235b4309790d2d9c6dfac4e83dbbdbe4dd47e,2023-12-10 20:48:35+00:00,Anuken,Make isSaveValid check backups,1
4802076bf81709d690889e24c9a86eccb95fd209,2023-12-10 19:44:30+00:00,ApsZoldat,"WIP marker changes, fix server name not appearing for saved hosts in join dialog",7
3e4b86d095db7c90cc967d006a13465d0fdb012b,2023-12-10 14:29:02+00:00,Anuken,Clear block config background on rebuild,1
32ca69a96f05e484d1a726a0ca0935d6295d43a5,2023-12-10 13:32:56+00:00,Anuken,Merge remote-tracking branch 'origin/master',1
e494806cc808e934b0553c3f87f7a81ff6db6a90,2023-12-10 13:32:49+00:00,Anuken,Better Flare/Avert targeting / Fixed targets resetting on save load,7
c02a052b7b2192186ba32293b8ae71153e95dbae,2023-12-10 01:15:20+00:00,TheRadioactiveBanana,"Load Balancing Refactor (#9369)

- Move off of dumb port scheme that I was too lazy to fix
- 3MIDustry partnership for more servers
- Load balancing because eradication servers have maxed out my two machines (yes, really)",1
484d89f022e7874520d7534845dbc377dfe8fb01,2023-12-09 17:38:25+00:00,Anuken,Merge remote-tracking branch 'origin/master',2
cecd84817cab61d960d6a9793a637e74edf11f01,2023-12-09 17:38:16+00:00,Anuken,Validate server JSON with org.json as well,2
5bc73fafea91f64828eaaabda8d4247ddf8f497a,2023-12-09 13:39:35+00:00,tech3mi,"Update servers_v7.json (#9362)

* Update servers_v7.json

We changed our server and ports

* Update servers_v7.json",1
ee52588ae7401c74e7b03aea08463079745ac7ca,2023-12-09 13:38:46+00:00,abcxyzDustry,"Update servers_v7.json (#9364)

vndustry wants to merge into abcxyzdustry",1
f3e351cd9bb29153357f2183bf93bdd9d5359204,2023-12-09 13:37:56+00:00,aawwaaa,"Update servers_v7.json (#9365)

fix a syntax error in line 12",1
626edbbf2a7c6666a391b88cd1fba214ea3e5fad,2023-12-08 23:25:22+00:00,MEIQIUawa,Update servers_v7.json (#9361),1
a2a690834daa21c996460414dcb34d9f31bad8e1,2023-12-08 22:03:40+00:00,BnDLett,"Add DDNS experimental server to server list (#9360)

Added DDNS experimental server to the server list under ""mindustry.ddns.net"".",1
d15de9f4fc480ae9a9db85e0f308dc478765f943,2023-12-08 12:11:11+00:00,Lifeless-Darkness,Update servers_v7.json (#9357),1
dd5dfa6a9734bb459a59e1022fc3ace93685a424,2023-12-07 17:38:12+00:00,CamoGekko,Fixed an error message (#9355),1
2b0a6a6f97143dc4bc80a68e85dd9aa77d3185ac,2023-12-07 15:26:55+00:00,ApsZoldat,Merge branch 'master' of https://github.com/Anuken/Mindustry into markers-update,42
c20684025e05f27dbc53a944166d08519cf25d80,2023-12-07 15:24:51+00:00,ApsZoldat,Small git shenanigans to actually (i really hope) revert all the bad stuff,1
ec48733150e32ff7367349e267401d0533ecdeb6,2023-12-07 12:20:14+00:00,Gamer-art9044,"Update servers_v7.json (#9352)

add a STP server to the list",1
45c21d60bf38acffcff412c0da7bbd8a32799b7e,2023-12-05 20:43:42+00:00,Anuken,Merge remote-tracking branch 'origin/master',34
3232e97d1aa43ea51373875a68b774c7c2705439,2023-12-05 20:43:33+00:00,Anuken,Display banned status in Steam lobbies,2
3aa4da7ebda2dfa4bad9b624e696293b1ba2c781,2023-12-05 20:18:42+00:00,unknown,Automatic bundle update,34
351c2c84f2ea78c1902796ed3cf5cffecc251d60,2023-12-05 20:17:55+00:00,Anuken,Fixed banned Steam users loading indefinitely,2
91cc4f922e53c6b42641ec4f04a1fc5f04cd6280,2023-12-05 18:57:41+00:00,Anuken,steamtest task destination,1
2f9f371c88eca561962bc9b4cb5e4df526dad1f4,2023-12-05 18:55:47+00:00,Anuken,ok buthed,1
1df0495a2f70dd041bbd93a1c859501cb9921a8c,2023-12-05 18:54:54+00:00,Anuken,Merge remote-tracking branch 'origin/master',1
b3c26fac0527c1781bf28e28364d19635dfd3ef8,2023-12-05 18:54:47+00:00,Anuken,Fixed Steam kicking,3
adada50f1c83c3b2252fb8a5cab347acea7d760f,2023-12-04 20:33:23+00:00,ApsZoldat,Minor map locales dialog fixes,1
cf131696bd2ac5a8f08f8f21733155363d61db2e,2023-12-04 19:43:59+00:00,ApsZoldat,Merge remote-tracking branch 'upstream/master',60
cf02b0f36d2adc93259b73d6fbef940aa4d1c234,2023-12-04 19:39:27+00:00,ApsZoldat,"Make setmarker ignor null values, remove redundant marker control operations",5
5d4d904ef93a13fac56125ad2b647ac9267592d6,2023-12-04 15:35:37+00:00,osp54,Darkdustry reborn. Again. (#9346),1
a0dc08aaca7893c938e5b3da5a341e2352c0b872,2023-12-04 11:44:17+00:00,The1Crux,"Update servers_v7.json (#9345)

new slots",1
