number,state,contributor,created_at,closed_at,title,labels
9945,open,Galahadagent,2024-06-13 19:11:29+00:00,,While using pixelated graphics messages aren't shown,['bug']
9944,closed,Vato8090,2024-06-13 12:38:21+00:00,2024-06-13 17:03:44+00:00,Problem,['bug']
9942,closed,Redo11,2024-06-13 02:30:48+00:00,2024-06-13 17:18:33+00:00,"Processors get enabled when changing ""map area"" rule",['bug']
9941,closed,Makaim20,2024-06-13 00:49:44+00:00,2024-06-13 01:59:54+00:00,Проблема с сохранениями,['bug']
9939,closed,Gordost33,2024-06-12 14:04:22+00:00,2024-06-12 21:39:52+00:00,Spawn sector bug,['bug']
9934,closed,opusforlife2,2024-06-11 14:57:10+00:00,2024-06-12 21:38:24+00:00,Import figures in Stats screen only updated if hanging around in exporting sector for that resource,['bug']
9931,closed,Untiled-infinity,2024-06-10 04:24:52+00:00,2024-06-12 21:39:41+00:00,Game randomly crashes,['bug']
9930,closed,Juliosh422,2024-06-08 19:33:09+00:00,2024-06-12 21:38:36+00:00,Drill Speed blocked by fog,['bug']
9929,closed,opusforlife2,2024-06-08 16:38:44+00:00,2024-06-10 14:14:41+00:00,"Turning off ""Auto-create saves"" doesn't seem to work?",['bug']
9928,closed,Everlost065,2024-06-08 15:49:14+00:00,2024-06-12 21:39:07+00:00,bugs?,['bug']
9923,closed,EwlKirill,2024-06-06 07:55:21+00:00,2024-06-12 21:39:00+00:00,Firing while flying in opposite direction,['bug']
9919,closed,Ray34245,2024-06-03 11:37:13+00:00,2024-06-03 12:03:14+00:00,Bug,['bug']
9917,closed,Staropanethy,2024-06-02 17:34:22+00:00,2024-06-02 20:04:07+00:00,unknown error during gameplay ,['bug']
9913,closed,Derekelpapu,2024-06-02 01:27:04+00:00,2024-06-02 17:18:30+00:00,Mindustry bug,['bug']
9911,closed,Brandanvimi,2024-06-01 15:47:48+00:00,2024-06-01 22:32:40+00:00,Deconstruct overlay stays on already deconstructed blocks ,['bug']
9908,closed,phamdung3,2024-06-01 04:35:27+00:00,2024-06-01 04:58:31+00:00,không thể tăng ram cho mndustry để cài mod,['bug']
9907,closed,lukanin12,2024-05-31 21:34:26+00:00,2024-05-31 21:57:23+00:00,-x^0=1 (must be = -1),['bug']
9905,closed,Galahadagent,2024-05-31 12:21:31+00:00,2024-05-31 13:30:22+00:00,Mindustry background music can't be loaded(played),['bug']
9901,closed,Deiteriy2,2024-05-30 18:14:22+00:00,2024-05-30 18:39:25+00:00,Beryllium on Serpulo ,['bug']
9900,closed,Pixelstormer,2024-05-30 13:20:57+00:00,2024-05-30 14:49:41+00:00,World processor spawning ghost units,['bug']
9899,closed,PosionFox,2024-05-30 01:16:18+00:00,2024-05-30 01:44:22+00:00,Game takes almost a minute to boot up when there is no internet,['bug']
9898,closed,eclipse1408,2024-05-29 23:30:33+00:00,2024-05-30 00:04:33+00:00,Chat doesn't exist,['bug']
9897,closed,SITUVNgcd,2024-05-29 15:45:57+00:00,2024-05-29 16:51:36+00:00,The dark side of the moon,['bug']
9896,closed,sharpenedblade,2024-05-29 03:15:35+00:00,2024-05-29 03:39:12+00:00,No units and players in multiplayer,['bug']
9895,closed,PsyNyde,2024-05-28 18:05:00+00:00,2024-05-28 18:31:00+00:00,Mods not loading,['bug']
9894,closed,ganchek9957,2024-05-28 09:46:09+00:00,2024-05-28 13:57:09+00:00,Mindustry,['bug']
9892,closed,TwoRincewind,2024-05-27 12:36:30+00:00,2024-05-27 13:40:57+00:00,Elude's bullets cannot damage another Elude,['bug']
9891,closed,VulcanIsMyDad,2024-05-27 08:55:38+00:00,2024-05-27 13:37:37+00:00,Game crashes when joining a community server,['bug']
9890,closed,PigpoleEnjoer,2024-05-26 19:29:52+00:00,2024-05-26 20:13:49+00:00,issues with launching the game,['bug']
9888,closed,SITUVNgcd,2024-05-26 12:12:09+00:00,2024-05-26 13:31:44+00:00,World processor setprop @health block 0 bug while Auto-target turn on,['bug']
9885,closed,A4-Tacks,2024-05-26 08:41:44+00:00,2024-05-26 13:03:23+00:00,OOM issues encountered while playing sector.stronghold,['bug']
9884,closed,mahdoosh1,2024-05-25 14:24:20+00:00,2024-05-25 14:39:34+00:00,a client can build unresearched blocks in Champaign,['bug']
9883,closed,cheburashka777,2024-05-25 08:59:14+00:00,2024-05-25 12:51:22+00:00,"When importing data, saves are not imported.",['bug']
9881,closed,KirBo111111,2024-05-25 06:59:43+00:00,2024-05-25 12:44:33+00:00,Игра стала баговаться,['bug']
