number,state,created_at,merged_at,closed_at,title
9948,open,2024-06-14 15:01:37+00:00,,,Not privileged setrate
9947,open,2024-06-13 20:36:52+00:00,,,ConsumeItemList
9946,open,2024-06-13 19:12:32+00:00,,,Update servers_v7.json
9943,open,2024-06-13 03:15:51+00:00,,,"Sensors, SetProp, and SetRule"
9940,open,2024-06-12 15:43:09+00:00,,,Logic Refactor
9938,closed,2024-06-12 11:56:22+00:00,2024-06-12 21:33:24+00:00,2024-06-12 21:33:24+00:00,Update servers_v7.json
9937,closed,2024-06-12 04:17:43+00:00,2024-06-12 21:33:18+00:00,2024-06-12 21:33:18+00:00,Update servers_v7.json
9936,closed,2024-06-12 00:52:34+00:00,2024-06-12 21:33:12+00:00,2024-06-12 21:33:12+00:00,Update servers_v7.json
9935,open,2024-06-11 22:36:38+00:00,,,Logic `data` instruction
9933,closed,2024-06-11 14:53:46+00:00,2024-06-12 21:32:53+00:00,2024-06-12 21:32:53+00:00,JSON Stuff
9932,closed,2024-06-10 12:41:31+00:00,2024-06-12 21:32:35+00:00,2024-06-12 21:32:35+00:00,Update servers_v7.json
9927,closed,2024-06-07 20:00:41+00:00,2024-06-12 21:32:28+00:00,2024-06-12 21:32:28+00:00,Update servers_v7.json
9926,closed,2024-06-07 03:37:29+00:00,,2024-06-13 00:24:18+00:00,World Sensors
9925,open,2024-06-06 21:26:49+00:00,,,Different distances for jump arrows
9924,closed,2024-06-06 11:03:25+00:00,2024-06-12 21:30:37+00:00,2024-06-12 21:30:37+00:00,[READY_TO_MERGE] Ukrainian translation
9922,open,2024-06-05 14:05:44+00:00,,,Map rule for air spawns
9921,closed,2024-06-04 10:01:41+00:00,,2024-06-06 05:59:12+00:00,Update servers_v7.json
9920,closed,2024-06-03 13:32:32+00:00,,2024-06-11 07:13:00+00:00,Update servers_v7.json
9918,closed,2024-06-02 18:39:36+00:00,,2024-06-11 14:52:04+00:00,More `MassDriverBolt` fixes
9916,closed,2024-06-02 10:50:44+00:00,,2024-06-02 17:24:44+00:00,Update servers_v7.json
9915,closed,2024-06-02 07:20:00+00:00,2024-06-02 17:20:18+00:00,2024-06-02 17:20:18+00:00,Allow json mods to modify mass driver bullets
9914,closed,2024-06-02 06:05:41+00:00,2024-06-12 21:52:36+00:00,2024-06-12 21:52:36+00:00,Update servers_v7.json
9912,closed,2024-06-01 21:39:50+00:00,2024-06-01 22:37:16+00:00,2024-06-01 22:37:16+00:00,Update servers_v7.json
9910,closed,2024-06-01 07:45:12+00:00,2024-06-01 13:32:13+00:00,2024-06-01 13:32:13+00:00,Update servers_v7.json
9909,open,2024-06-01 07:27:20+00:00,,,Update bundle_ko.properties
9906,closed,2024-05-31 17:28:37+00:00,,2024-06-01 21:37:47+00:00,Update servers_v7.json
9904,closed,2024-05-31 07:12:48+00:00,2024-05-31 13:31:29+00:00,2024-05-31 13:31:29+00:00,Update Name
9903,open,2024-05-31 00:29:44+00:00,,,add ability to switch to planet by clicking on it from afar
9902,closed,2024-05-31 00:20:52+00:00,,2024-05-31 00:47:57+00:00,put the ACP servers higher in the list
9893,closed,2024-05-27 13:27:04+00:00,2024-05-27 14:03:19+00:00,2024-05-27 14:03:19+00:00,Update servers_v7.json
9889,closed,2024-05-26 18:54:24+00:00,2024-05-27 22:01:16+00:00,2024-05-27 22:01:16+00:00,Update servers_v7.json
9887,closed,2024-05-26 10:59:13+00:00,2024-05-30 22:18:52+00:00,2024-05-30 22:18:52+00:00,Double-check translations for Vietnamese
9886,open,2024-05-26 09:33:15+00:00,,,Update bundle_zh_CN.properties
9882,closed,2024-05-25 07:07:37+00:00,2024-05-25 12:51:43+00:00,2024-05-25 12:51:43+00:00,Update bundle_hu.properties
9880,closed,2024-05-25 05:09:26+00:00,2024-05-25 12:51:37+00:00,2024-05-25 12:51:37+00:00,"2D2R (Update servers_v7.json, updated IP)"
9869,closed,2024-05-21 12:30:47+00:00,,2024-05-27 14:03:37+00:00,Update servers_v7.json
9868,closed,2024-05-20 14:44:44+00:00,2024-05-26 02:09:29+00:00,2024-05-26 02:09:29+00:00,Update servers_v7.json: factory server
9866,closed,2024-05-20 06:05:24+00:00,2024-05-20 13:33:49+00:00,2024-05-20 13:33:49+00:00,2D2R (Update servers_v7.json)
9865,closed,2024-05-20 05:51:47+00:00,,2024-05-20 13:33:25+00:00,Update servers_v7.json
9864,open,2024-05-19 21:30:42+00:00,,,Update bundle_pt_BR.properties
9861,closed,2024-05-19 14:58:46+00:00,,2024-05-20 13:34:23+00:00,Update servers_v7.json
9859,closed,2024-05-19 09:07:44+00:00,2024-05-19 13:21:30+00:00,2024-05-19 13:21:30+00:00,Update bundle_hu.properties
9857,closed,2024-05-18 17:27:46+00:00,2024-05-18 18:25:41+00:00,2024-05-18 18:25:42+00:00,Fix BeamDrill not work when multiple items
9853,closed,2024-05-15 08:13:18+00:00,2024-05-15 13:40:35+00:00,2024-05-15 13:40:35+00:00,Update servers_v7.json
9852,open,2024-05-15 02:39:28+00:00,,,Updated bundle_zh_TW.properties
9851,closed,2024-05-14 09:25:54+00:00,,2024-05-19 12:11:01+00:00,Update servers_v7.json
9850,closed,2024-05-13 20:32:09+00:00,2024-05-13 21:23:27+00:00,2024-05-13 21:23:27+00:00,Update servers_v7.json
9849,closed,2024-05-13 17:24:14+00:00,2024-05-13 17:53:22+00:00,2024-05-13 17:53:22+00:00,Update servers_v7.json
9848,closed,2024-05-13 14:30:21+00:00,,2024-05-22 14:32:26+00:00,Update servers_v7.json
9846,closed,2024-05-13 07:51:42+00:00,2024-05-13 14:30:43+00:00,2024-05-13 14:30:43+00:00,We have a domain now (`mindurka.fun`)
9839,closed,2024-05-12 07:14:59+00:00,,2024-05-14 09:24:37+00:00,Update servers_v7.json
9836,closed,2024-05-11 02:35:14+00:00,,2024-05-12 07:14:24+00:00,Update servers_v7.json
9835,open,2024-05-10 17:36:27+00:00,,,Easier access to adding custom buttons to existing vanilla menu categories.
